epsilon, gamma, alpha, defaultq, successes, avg_buffer, avg_penalties
0.1, 0.5, '1.0/t', 0.0, 95,0.55679577732209318, 0.58 
0.1, 0.5, '1.0/t', 0.0, 92,0.54627242926155961, 0.53 
0.1, 0.5, '1.0/t', 0.0, 98,0.56312557057455015, 0.66 
0.1, 0.5, '1.0/t', 0.0, 96,0.55958077801827799, 0.46 
0.1, 0.5, '1.0/t', 0.0, 92,0.53874145178493005, 0.64 
0.05, 0.5, '1.0/t', 0.0, 96,0.53677496693121696, 0.43 
0.05, 0.5, '1.0/t', 0.0, 93,0.56138838461419116, 0.45 
0.05, 0.5, '1.0/t', 0.0, 98,0.58965824425008095, 0.35 
0.05, 0.5, '1.0/t', 0.0, 98,0.59676009364784877, 0.36 
0.05, 0.5, '1.0/t', 0.0, 99,0.57925029515938598, 0.29 
0.05, 0.5, '1.0/t', 0.0, 98,0.60357474158494562, 0.33 
0.05, 0.5, '1.0/t', 0.0, 95,0.581596870965292, 0.37 
0.05, 0.5, '1.0/t', 0.0, 96,0.56446894540644543, 0.31 
0.05, 0.5, '1.0/t', 0.0, 97,0.60396312164353394, 0.28 
0.05, 0.5, '1.0/t', 0.0, 97,0.6054244209398848, 0.33 
0.05, 0.5, '1.0/t', 0.0, 98,0.57551844980416411, 0.35 
0.05, 0.5, '1.0/t', 0.0, 95,0.54002756892230575, 0.44 
0.05, 0.5, '1.0/t', 0.0, 96,0.55296672077922071, 0.43 
0.05, 0.5, '1.0/t', 0.0, 98,0.56043893747975382, 0.39 
0.05, 0.5, '1.0/t', 0.0, 97,0.53887140923223398, 0.44 
0.05, 0.5, '1.0/t', 0.0, 97,0.56505727376861392, 0.36 
0.05, 0.5, '1.0/t', 0.0, 96,0.51868731962481962, 0.36 
0.05, 0.5, '1.0/t', 0.0, 96,0.58216292388167379, 0.36 
0.05, 0.5, '1.0/t', 0.0, 98,0.56562645404482137, 0.34 
0.05, 0.5, '1.0/t', 0.0, 92,0.6013276397515529, 0.46 
0.05, 0.5, '1.0/t', 0.0, 93,0.52922341696535247, 0.45 
0.05, 0.5, '1.0/t', 0.0, 97,0.60121383198702794, 0.35 
0.05, 0.5, '1.0/t', 0.0, 97,0.58462816679311524, 0.34 
0.05, 0.5, '1.0/t', 0.0, 95,0.542475051264525, 0.46 
0.05, 0.5, '1.0/t', 0.0, 99,0.57577404638010699, 0.32 
0.05, 0.5, '1.0/t', 0.0, 90,0.61799871733205058, 0.38 
0.05, 0.5, '1.0/t', 0.0, 98,0.57304907677356653, 0.29 
0.05, 0.5, '1.0/t', 0.0, 99,0.59886892008104131, 0.3 
0.05, 0.5, '1.0/t', 0.0, 97,0.55175644515850708, 0.38 
0.05, 0.5, '1.0/t', 0.0, 98,0.59103660511823775, 0.36 
0.05, 0.5, '1.0/t', 0.0, 97,0.58217476681394198, 0.41 
0.05, 0.5, '1.0/t', 0.0, 98,0.53636930529787674, 0.38 
0.05, 0.5, '1.0/t', 0.0, 96,0.53995137385762393, 0.29 
0.05, 0.5, '1.0/t', 0.0, 100,0.56184675324675326, 0.39 
0.05, 0.5, '1.0/t', 0.0, 97,0.5674079528718704, 0.33 
0.05, 0.5, '1.0/t', 0.0, 93,0.55354412015702337, 0.45 
0.05, 0.5, '1.0/t', 0.0, 97,0.5693798069055801, 0.3 
0.05, 0.5, '1.0/t', 0.0, 100,0.6059214285714285, 0.36 
0.05, 0.5, '1.0/t', 0.0, 96,0.56512385762385764, 0.5 
0.05, 0.5, '1.0/t', 0.0, 98,0.56905895691609976, 0.28 
0.05, 0.5, '1.0/t', 0.0, 96,0.56398118085618087, 0.41 
0.05, 0.5, '1.0/t', 0.0, 97,0.563091295874801, 0.37 
0.05, 0.5, '1.0/t', 0.0, 95,0.56899316473000683, 0.37 
0.05, 0.5, '1.0/t', 0.0, 92,0.5563995545517284, 0.37 
0.05, 0.5, '1.0/t', 0.0, 90,0.51202990219656896, 0.41 
