Security Start Date,Company Name,Country of Incorporation,LSE Market,FCA Listing Category,ISIN,Security Name,TIDM,Mkt Cap £m,Shares in Issue,Industry,Supersector,Sector,Subsector,Group,MarketSegmentCode,MarketSectorCode,Trading Currency,,,,,,,,,,,,,,,,,,
6-Aug-90,ABERDEEN UK TRACKER TRUST PLC      ,GB,UK Main Market,Premium Equity Closed Ended Investment Funds,GB0005596985,GBP0.10                                 ,AUKT,312.7602255975,"99,525,927.00",Financials,Equity Investment Instruments,Equity Investment Instruments,Equity Investment Instruments,8985,SSMM,SSC6,GBX,,,,,,,,,,,,,,,,,,
30-Apr-10,ABERFORTH GEARED INCOME TRUST PLC  ,GB,UK Main Market,Premium Equity Closed Ended Investment Funds,GB00B4TR3444,ORD GBP0.01                             ,AGIT,257.064375,"109,500,000.00",Financials,Equity Investment Instruments,Equity Investment Instruments,Equity Investment Instruments,8985,SSMM,SSC6,GBX,,,,,,,,,,,,,,,,,,
30-Apr-10,ABERFORTH GEARED INCOME TRUST PLC  ,GB,UK Main Market,Standard Shares,GB00B4WLXD25,ZERO DIV PREF SHS GBP0.01               ,AGIZ,257.064375,"30,000,000.00",Financials,Equity Investment Instruments,Equity Investment Instruments,Equity Investment Instruments,8985,SSMU,SMEW,GBX,,,,,,,,,,,,,,,,,,
10-Dec-90,ABERFORTH SMALLER COMPANIES TRUST  ,GB,UK Main Market,Premium Equity Closed Ended Investment Funds,GB0000066554,ORD GBP0.01                             ,ASL ,975.48881552,"94,615,792.00",Financials,Equity Investment Instruments,Equity Investment Instruments,Equity Investment Instruments,8985,STMM,25FS,GBX,,,,,,,,,,,,,,,,,,
10-Jul-14,ABZENA LTD                         ,GB,AIM,,GB00BN65QN46,ORD GBP0.002                            ,ABZA ,57.87014965,"136,165,058.00",Health Care,Health Care,Pharmaceuticals & Biotechnology,Biotechnology,4573,ASQ1,AMQ1,GBX,,,,,,,,,,,,,,,,,,
24-Mar-10,ACACIA MINING PLC                  ,GB,UK Main Market,Premium Equity Commercial Companies,GB00B61D2N63,ORD GBP0.10                             ,ACA ,1889.263893893,"410,085,499.00",Basic Materials,Basic Resources,Mining,Gold Mining,1777,STMM,F25F,GBX,,,,,,,,,,,,,,,,,,
28-Mar-94,ACAL                               ,GB,UK Main Market,Premium Equity Commercial Companies,GB0000055888,ORD GBP0.05                             ,ACL ,165.8406724,"63,784,874.00",Industrials,Industrial Goods & Services,Support Services,Industrial Suppliers,2797,SSMM,SSC5,GBX,,,,,,,,,,,,,,,,,,
28-Jun-05,ACCESS INTELLIGENCE                ,GB,AIM,,GB0033835264,ORD GBP0.005                            ,ACC  ,14.49796556625,"282,887,133.00",Technology,Technology,Software & Computer Services,Computer Services,9533,AIM ,AIM ,GBX,,,,,,,,,,,,,,,,,,
24-Apr-02,ACCESSO TECHNOLOGY GRP PLC         ,GB,AIM,,GB0001771426,ORD GBP0.01                             ,ACSO ,331.958601,"21,347,820.00",Technology,Technology,Software & Computer Services,Software,9537,ASQ1,AMQ1,GBX,,,,,,,,,,,,,,,,,,
10-Jun-16,ACCROL GROUP HLDGS PLC             ,GB,AIM,,GB00BZ6VT592,ORD GBP0.001                            ,ACRL ,117.66018253,"93,012,002.00",Consumer Goods,Personal & Household Goods,Household Goods & Home Construction,Nondurable Household Products,3724,ASQ1,AMQ1,GBX,,,,,,,,,,,,,,,,,,
